skill
python
fastapi
django
flask
react
javascript
typescript
vue
angular
node.js
express
next.js
nuxt
svelte
html
css
tailwind
bootstrap
sass
less
docker
kubernetes
aws
azure
gcp
devops
ci/cd
git
github
gitlab
bitbucket
terraform
ansible
puppet
chef
helm
prometheus
grafana
sql
postgresql
mysql
mongodb
redis
sqlite
cassandra
dynamodb
mariadb
oracle
pandas
numpy
scikit-learn
tensorflow
pytorch
keras
machine learning
deep learning
nlp
computer vision
data analysis
data science
data engineering
java
spring
spring boot
hibernate
c
c++
c#
.net
asp.net
go
golang
rust
php
laravel
ruby
rails
swift
swiftui
kotlin
android
flutter
react native
rest api
graphql
grpc
microservices
system design
agile
scrum
kanban
jira
confluence
linux
bash
shell
powershell
pytest
unittest
jest
mocha
cypress
selenium
playwright
security
cybersecurity
oauth
jwt
openid
saml
kafka
rabbitmq
activemq
elasticsearch
logstash
kibana
power bi
tableau
excel
spark
hadoop
hive
airflow
snowflake
databricks
dbt
bigquery
redshift
s3
ec2
lambda
ecs
eks
gke
aks
nginx
apache
tomcat
websockets
socket.io
webpack
vite
babel
npm
yarn
pnpm
postman
swagger
openapi
figma
ui/ux
responsive design
web performance
seo
ci/cd pipelines
cloud architecture
database design
distributed systems
object-oriented programming
functional programming
data structures
algorithms
problem solving
code review
technical leadership
team management
cross-functional collaboration
communication
project management
